Epoch,Holiday name,Holiday type
1420070400,New Year's Day,Restricted Holiday
1420329600,Milad un-Nabi/Id-e-Milad,Gazetted Holiday
1420416000,Guru Govind Singh Jayanti,Restricted Holiday
1421193600,Makar Sankranti,Restricted Holiday
1421280000,Pongal,Restricted Holiday
1421884800,"Beti Bachao, Beti Padhao Campaign Launch Day",Observance
1422057600,Vasant Panchami,Restricted Holiday
1422230400,Republic Day,Gazetted Holiday
1422921600,Guru Ravidas Jayanti,Restricted Holiday
1423872000,Maharishi Dayanand Saraswati Jayanti,Restricted Holiday
1423872000,Valentine's Day,Observance
1424131200,Maha Shivaratri/Shivaratri,Gazetted Holiday
1424304000,Shivaji Jayanti,Restricted Holiday
1424304000,Chinese New Year,Observance
1425513600,Holika Dahana,Restricted Holiday
1425600000,Dolyatra,Restricted Holiday
1426809600,March equinox,Season
1426896000,Chaitra Sukhladi,Restricted Holiday
1427500800,Rama Navami,Gazetted Holiday
1427932800,Maundy Thursday,"Observance, Christian"
1427932800,Mahavir Jayanti,Gazetted Holiday
1428019200,Good Friday,Gazetted Holiday
1428105600,First day of Passover,Observance
1428192000,Easter Day,Restricted Holiday
1428969600,Vaisakhi,Restricted Holiday
1428969600,Ambedkar Jayanti,Observance
1429056000,Mesadi/Vaisakhadi,Restricted Holiday
1430438400,May Day,Observance
1430611200,Hazarat Ali's Birthday,Restricted Holiday
1430697600,Buddha Purnima/Vesak,Gazetted Holiday
1431129600,Birthday of Ravindranath,Restricted Holiday
1431216000,Mother's Day,Observance
1434844800,Father's Day,Observance
1434844800,June Solstice,Season
1437091200,Jamat Ul-Vida,Restricted Holiday
1437177600,Rath Yatra,Restricted Holiday
1437264000,Ramzan Id/Eid-ul-Fitar,"Muslim, Common Local holidays"
1438473600,Friendship Day,Observance
1439596800,Independence Day,Gazetted Holiday
1439596800,Thanksgiving Day,Observance
1439856000,Parsi New Year,Restricted Holiday
1440720000,Onam,Restricted Holiday
1440806400,Raksha Bandhan (Rakhi),Restricted Holiday
1441411200,Janmashtami,Gazetted Holiday
1442448000,Ganesh Chaturthi/Vinayaka Chaturthi,Restricted Holiday
1442966400,September equinox,Season
1443139200,Bakr Id/Eid ul-Adha,Gazetted Holiday
1443744000,Mahatma Gandhi Jayanti,Gazetted Holiday
1445299200,Maha Saptami,Restricted Holiday
1445385600,Maha Ashtami,Restricted Holiday
1445472000,Dussehra (Maha Navami),Gazetted Holiday
1445644800,Muharram/Ashura,Gazetted Holiday
1445904000,Maharishi Valmiki Jayanti,Restricted Holiday
1446163200,Karaka Chaturthi (Karva Chauth),Restricted Holiday
1446249600,Halloween,Observance
1447113600,Naraka Chaturdasi,Restricted Holiday
1447200000,Diwali/Deepavali,Gazetted Holiday
1447286400,Govardhan Puja,Restricted Holiday
1447372800,Bhai Duj,Restricted Holiday
1447718400,Chhat Puja (Pratihar Sashthi/Surya Sashthi),Restricted Holiday
1448323200,Guru Tegh Bahadur's Martyrdom Day,Restricted Holiday
1448409600,Guru Nanak Jayanti,Gazetted Holiday
1449446400,First Day of Hanukkah,Observance
1450051200,Last day of Hanukkah,Observance
1450742400,December Solstice,Season
1450915200,Christmas Eve,Restricted Holiday
1451001600,Christmas,Gazetted Holiday
1451520000,New Year's Eve,"Observance, Christian"
